source_token,source_lemma,target_rendering,block_id
བླ་མ,བླ་མ,Guru,1-1
དང་,དང་,and,1-1
འཇམ་པའི་དབྱངས,འཇམ་པའི་དབྱངས,Mañjughoṣa,1-1
ལ,ལ,to,1-1
གུས་པས,གུས་པས,devotion,1-1
ཕྱག་འཚལ་ལོ,ཕྱག་འཚལ་ལོ,I_prostrate,1-1
གང་ཞིག,གང་ཞིག,you,1-2
བྱང་ཆུབ་ཤིང་དབང,བྱང་ཆུབ་ཤིང་དབང,sovereign_Bodhi_tree,1-2
དྲུང་དུ,དྲུང་དུ,Beneath,1-2
བདུད་སྡེ་དཔུང་བཅས,བདུད་སྡེ་དཔུང་བཅས,hosts_of_Māra,1-2
ས,ས,earth,1-2
དང་,དང་,and,1-2
མཁའ,མཁའ,sky,1-2
ཀུན་ཁྱབ,ཀུན་ཁྱབ,pervaded,1-2
རྡོ་རྗེ,རྡོ་རྗེ,vajras,1-2
མདུང་ཐུང,མདུང་ཐུང,short_spears,1-2
དང་ནི,དང་ནི,and,1-2
འཁོར་ལོ,འཁོར་ལོ,wheels,1-2
མེ,མེ,fire,1-2
དང་,དང་,and,1-2
རི,རི,mountains,1-2
དང་,དང་,and,1-2
གངས་རིའི་ཕྲེང་བས,གངས་རིའི་ཕྲེང་བས,ranges_of_snow-peaks,1-2
ཆར་འབེབས་པ,ཆར་འབེབས་པ,rained_down,1-2
རྫུ་འཕྲུལ་རྣམ་པར་འཕྲུལ་བྱེད,རྫུ་འཕྲུལ་རྣམ་པར་འཕྲུལ་བྱེད,miraculous_displays,1-2
སྟོབས་ལྡན,སྟོབས་ལྡན,powerful_one,1-2
མེ་ཏོག་མདའ་ཅན,མེ་ཏོག་མདའ་ཅན,adorned_with_flower-arrows,1-2
བྱང་ཆུབ,བྱང་ཆུབ,enlightenment,1-2
བཟློག་ཕྱིར,བཟློག་ཕྱིར,to_obstruct,1-2
བརྩོན་པ་ན,བརྩོན་པ་ན,strove,1-2
བྱམས་པའི་ཐུགས་ཀྱིས,བྱམས་པའི་ཐུགས་ཀྱིས,with_a_heart_of_loving-kindness,1-2
ལེགས་པར,ལེགས་པར,well,1-2
ཕམ་མཛད,ཕམ་མཛད,defeated,1-2
རྫོགས་པའི་སངས་རྒྱས,རྫོགས་པའི་སངས་རྒྱས,perfect_Buddhahood,1-2
གང་བརྙེས,གང་བརྙེས,attained,1-2
དེ་ལ,དེ་ལ,to_you,1-2
མགོས,མགོས,head,1-2
ཕྱག་འཚལ,ཕྱག་འཚལ,I_bow,1-2
ཁྱོད,ཁྱོད,you,1-3
གཞན་གྱི་དོན་སླད་དུ,གཞན་གྱི་དོན་སླད་དུ,for_the_sake_of_others,1-3
བསམ,བསམ,intention,1-3
དང་,དང་,and,1-3
སྦྱོར་བ,སྦྱོར་བ,application,1-3
ཕུན་ཚོགས་པས,ཕུན་ཚོགས་པས,perfect,1-3
བྱང་ཆུབ་དམ་པར,བྱང་ཆུབ་དམ་པར,supreme_enlightenment,1-3
ཐུགས,ཐུགས,mind,1-3
བསྐྱེད,བསྐྱེད,generated,1-3
ཚེ,ཚེ,when,1-3
ས,ས,earth,1-3
རྣམ་པ་དྲུག་ཏུ,རྣམ་པ་དྲུག་ཏུ,in_six_ways,1-3
གཡོས,གཡོས,trembled,1-3
སྦྱིན,སྦྱིན,generosity,1-4
དང་,དང་,and,1-4
ཚུལ་ཁྲིམས,ཚུལ་ཁྲིམས,ethical_discipline,1-4
ལེགས་བསྒྲུབས,ལེགས་བསྒྲུབས,perfectly_accomplished,1-4
བཟོད,བཟོད,patience,1-4
དང་,དང་,and,1-4
བརྩོན་འགྲུས,བརྩོན་འགྲུས,diligence,1-4
གོམས་པར་མཛད,གོམས་པར་མཛད,practiced,1-4
བསམ་གཏན,བསམ་གཏན,meditative_concentration,1-4
ཤེས་རབ,ཤེས་རབ,wisdom,1-4
མཐར་ཕྱིན་པས,མཐར་ཕྱིན་པས,having_reached_the_culmination,1-4
ཕ་རོལ་ཕྱིན་རྫོགས,ཕ་རོལ་ཕྱིན་རྫོགས,perfected_the_perfections,1-4
ཁྱོད,ཁྱོད,you,1-4
ཕྱག་འཚལ,ཕྱག་འཚལ,I_prostrate,1-4
འགྲོ་མགོན,འགྲོ་མགོན,protector_of_beings,1-5
དང་པོ,དང་པོ,first,1-5
བལྟམས་པ་ན,བལྟམས་པ་ན,was_born,1-5
འཇིག་རྟེན,འཇིག་རྟེན,world,1-5
མཁས་པ,མཁས་པ,wise_ones,1-5
ཐམས་ཅད,ཐམས་ཅད,all,1-5
དགའ,དགའ,rejoiced,1-5
བདུད་རྣམས,བདུད་རྣམས,hosts_of_Māra,1-5
ཤིན་ཏུ,ཤིན་ཏུ,great,1-5
དོགས་པ་སྐྱེས,དོགས་པ་སྐྱེས,filled_with_anxiety,1-5
མུ་སྟེགས་བྱེད་པ,མུ་སྟེགས་བྱེད་པ,non-Buddhist_extremists,1-5
མཐའ་དག,མཐའ་དག,all,1-5
སྐྲག,སྐྲག,were_terrified,1-5
དེ་སླད,དེ་སླད,Therefore,1-6
ཁྱོད་ཀྱི,ཁྱོད་ཀྱི,your,1-6
བསྟན་པ,བསྟན་པ,teaching,1-6
ཉི་མའི་འོད,ཉི་མའི་འོད,light_of_the_sun,1-6
བཞིན,བཞིན,like,1-6
ཕྲིན་ལས,ཕྲིན་ལས,enlightened_activity,1-6
མངའ,མངའ,possesses,1-6
རྣམ་པ་ཀུན་ཏུ,རྣམ་པ་ཀུན་ཏུ,in_every_respect,1-6
མི་བསླུ་བའི,མི་བསླུ་བའི,unerring,1-6
རྩ་ལག,རྩ་ལག,kinsman,1-6
ཁྱོད་ལ,ཁྱོད་ལ,to_you,1-6
བདག,བདག,I,1-6
སྐྱབས་མཆི,སྐྱབས་མཆི,go_for_refuge,1-6
ཁྱོད་ཀྱི,ཁྱོད་ཀྱི,your,1-7
གསུང་རབ,གསུང་རབ,scriptural_speech,1-7
སེངྒེའི་སྒྲ,སེངྒེའི་སྒྲ,lion's_roar,1-7
ལྷར་བཅས,ལྷར་བཅས,including_the_gods,1-7
འཇིག་རྟེན,འཇིག་རྟེན,world,1-7
བསྒྲགས་པ་ན,བསྒྲགས་པ་ན,when_proclaimed,1-7
ཚངས,ཚངས,Brahmā,1-7
དང་,དང་,and,1-7
ཁྱབ་འཇུག,ཁྱབ་འཇུག,Viṣṇu,1-7
ལྐུགས་པར་གྱུར,ལྐུགས་པར་གྱུར,were_rendered_speechless,1-7
ལྷ་ཡི་བླ་མ,ལྷ་ཡི་བླ་མ,teachers_of_the_gods,1-7
ཝ་ལྟར,ཝ་ལྟར,like_foxes,1-7
ཞུམ,ཞུམ,shrank_away,1-7
ཐུབ་པ,ཐུབ་པ,sages,1-8
རྐང་མིག,རྐང་མིག,Akṣapāda,1-8
གྲོག་མཁར,གྲོག་མཁར,Vālmīki,1-8
དང་,དང་,and,1-8
དྲང་སྲོང་རྒྱས་པ,དྲང་སྲོང་རྒྱས་པ,Vyāsa,1-8
གནས་འཇོག,གནས་འཇོག,Ne-jok,1-8
སོགས,སོགས,and_others,1-8
གྲགས་པ,གྲགས་པ,renown,1-8
ཐོབ་པ,ཐོབ་པ,attained,1-8
དེ་དག་ཀུན,དེ་དག་ཀུན,all_those,1-8
ཆོས་ཀྱིས,ཆོས་ཀྱིས,with_the_Dharma,1-8
ཕམ་མཛད,ཕམ་མཛད,defeated,1-8
ཁྱོད་ལ,ཁྱོད་ལ,to_you,1-8
འདུད,འདུད,I_bow,1-8
བྱང་ཆུབ་མཆོག,བྱང་ཆུབ་མཆོག,supreme_enlightenment,1-9
བརྙེས་ནས,བརྙེས་ནས,having_attained,1-9
འགྲོ་བའི་དོན,འགྲོ་བའི་དོན,for_the_sake_of_beings,1-9
མཛད,མཛད,work,1-9
ངོ་མཚར་ཆེ,ངོ་མཚར་ཆེ,truly_wondrous,1-9
སྲིད་པའི་སྲེད,སྲིད་པའི་སྲེད,craving_of_existence,1-9
མ་གྲོལ་བར,མ་གྲོལ་བར,before_being_freed,1-9
སྐུ་སྲོག,སྐུ་སྲོག,your_own_life,1-9
བཏང་བས,བཏང་བས,sacrificed,1-9
བ་སྤུ་ལྡང,བ་སྤུ་ལྡང,hair_stand_on_end,1-9
ཉིད་ཀྱི་སྐུ་སྲོག,ཉིད་ཀྱི་སྐུ་སྲོག,your_own_life,1-10
མི་གཟིགས་པར,མི་གཟིགས་པར,without_regarding,1-10
ཁྱེད་ལ,ཁྱེད་ལ,for_your,1-10
ཕན་པར་བྱའོ,ཕན་པར་བྱའོ,benefit,1-10
ཞེས,ཞེས,Saying,1-10
མགོན་མེད,མགོན་མེད,without_a_protector,1-10
བདག་ཅག,བདག་ཅག,us,1-10
རྗེས་གཟུང་བ,རྗེས་གཟུང་བ,cared_for,1-10
མགོན་པོ,མགོན་པོ,Protector,1-10
ཁྱོད་ལ,ཁྱོད་ལ,in_you,1-10
བདག,བདག,I,1-10
སྐྱབས་མཆི,སྐྱབས་མཆི,take_refuge,1-10
རྒྱལ་བས,རྒྱལ་བས,The_Victorious_One,1-11
བདུད་སྡེ,བདུད་སྡེ,hosts_of_Māra,1-11
བཏུལ་བ,བཏུལ་བ,subdued,1-11
མུ་སྟེགས,མུ་སྟེགས,non-Buddhist_extremists,1-11
མ་ལུས,མ་ལུས,all,1-11
ཕམ་མཛད,ཕམ་མཛད,Defeated,1-11
ཉན་ཐོས,ཉན་ཐོས,Hearers,1-11
སློབ་མ,སློབ་མ,disciples,1-11
གྲངས་མེད,གྲངས་མེད,countless,1-11
བཀྲོལ,བཀྲོལ,Liberated,1-11
རྒྱལ་སྲས་དམ་པ,རྒྱལ་སྲས་དམ་པ,noble_heirs_of_the_Victor,1-11
ལུང་བསྟན་མཛད,ལུང་བསྟན་མཛད,gave_prophecies,1-11
དེ་འདྲའི,དེ་འདྲའི,such,1-12
ལེགས་ཚོགས,ལེགས་ཚོགས,excellent_deeds,1-12
མཐོང་བ་རྣམས,མཐོང་བ་རྣམས,Seeing,1-12
ཁྱོད་ཀྱི་ཡོན་ཏན,ཁྱོད་ཀྱི་ཡོན་ཏན,your_qualities,1-12
དོན་གཉེར་བས,དོན་གཉེར་བས,aspiring_for,1-12
བྱང་ཆུབ,བྱང་ཆུབ,enlightenment,1-12
སླད་དུ,སླད་དུ,for_the_sake_of,1-12
འཇུག་པ,འཇུག་པ,enter_upon_the_path,1-12
བདག,བདག,I,1-12
སླར་ཡང,སླར་ཡང,Once_again,1-12
ཁྱོད་ལ,ཁྱོད་ལ,in_you,1-12
བདག,བདག,I,1-12
སྐྱབས་མཆི,སྐྱབས་མཆི,take_refuge,1-12
ཁྱོདཀྱི་སྲས,ཁྱོདཀྱི་སྲས,Your_son,1-13
ནི,ནི,is,1-13
འཇམ་པའི་དབྱངས,འཇམ་པའི་དབྱངས,Mañjughoṣa,1-13
སློབ་མ,སློབ་མ,Your_disciple,1-13
ཤ་ར་དྭ་ཏིའི་བུ,ཤ་ར་དྭ་ཏིའི་བུ,Śāradvatīputra,1-13
བྱམས་པ,བྱམས་པ,Maitreya,1-13
རྒྱལ་ཚབ་དམ་པར,རྒྱལ་ཚབ་དམ་པར,your_supreme_regent,1-13
མཛད,མཛད,have_made,1-13
སེམསཤེས་སུ,སེམསཤེས་སུ,Who,1-13
ཞིག,ཞིག,possibly,1-13
ཐེ་ཚོམ་ཟ,ཐེ་ཚོམ་ཟ,doubt,1-13
ཁྱོད་ཀྱི་ཡོན་ཏན,ཁྱོད་ཀྱི་ཡོན་ཏན,your_qualities,1-14
སྨོས་ཅི་འཚལ,སྨོས་ཅི་འཚལ,What_need_is_there_to_speak_of,1-14
སྲས་ཀྱི་ཡོན་ཏན,སྲས་ཀྱི་ཡོན་ཏན,qualities_of_your_sons,1-14
མཐོང་བས,མཐོང་བས,Seeing,1-14
འཁུམས,འཁུམས,one_is_overcome,1-14
སྐྱ་རེངསཤར་བའི,སྐྱ་རེངསཤར་བའི,of_the_rising_dawn,1-14
གཟི་བརྗིད་ཀྱིས,གཟི་བརྗིད་ཀྱིས,By_the_brilliance,1-14
པདྨོའི་གཉེན་གྱི,པདྨོའི་གཉེན་གྱི,of_the_friend_of_the_lotus,1-14
འོད་ཟེར,འོད་ཟེར,rays,1-14
གོ,གོ,One_understands,1-14
ཇི་ལྟ་བ,ཇི་ལྟ་བ,as_they_are,1-15
དང་,དང་,and,1-15
ཇི་སྙེད,ཇི་སྙེད,as_they_exist,1-15
ཆོས,ཆོས,phenomena,1-15
ཁྱོད་ཀྱིས,ཁྱོད་ཀྱིས,you,1-15
རྣམ་པ་ཀུན,རྣམ་པ་ཀུན,in_every_way,1-15
བརྙེས་པས,བརྙེས་པས,have_attained,1-15
བཞེད་པའི,བཞེད་པའི,as_you_intended,1-15
ཕྲིན་ལས,ཕྲིན་ལས,enlightened_activities,1-15
གྲུབ་པ,གྲུབ་པ,accomplished,1-15
ཁྱོད་ལ,ཁྱོད་ལ,to_you,1-15
བདག,བདག,I,1-15
ཕྱག་འཚལ,ཕྱག་འཚལ,prostrate,1-15
